idOrden,idUsuario,fecha,estado,preciototal,observaciones,idRuta
5,jose,2026-03-26,Pendiente,18.98,Requiere firma,Ruta B
5,o,2026-03-22,Cancelada,20.947,Llamar al llegar,a
5,o,2026-04-05,En Proceso,34.534,Requiere firma,a
5,o,2026-03-27,Pendiente,41.799,Entrega rápida,a
5,o,2026-04-06,Cancelada,17.164,Requiere firma,a
5,o,2026-04-13,En Proceso,18.294,Entrega rápida,a
5,o,2026-04-12,En Proceso,21.857,Entrega rápida,a
5,o,2026-03-30,Cancelada,26.739,Llamar al llegar,a
5,o,2026-04-10,Cancelada,21.876,Requiere firma,a
5,o,2026-04-16,Pendiente,38.832,Dejar en la puerta,a
5,o,2026-03-24,Cancelada,44.7,Dejar en la puerta,a
5,o,2026-04-14,Pendiente,34.739,Dejar en la puerta,a
5,o,2026-03-17,Pendiente,47.788,Llamar al llegar,a
5,o,2026-04-10,En Proceso,28.009,Llamar al llegar,a
5,o,2026-04-11,Cancelada,9.161,Dejar en la puerta,a
5,o,2026-03-17,Cancelada,25.223,Dejar en la puerta,a
5,o,2026-04-04,En Proceso,24.774,Entrega rápida,a
5,o,2026-04-06,Pendiente,33.802,Dejar en la puerta,a
5,o,2026-04-05,Cancelada,45.043,Entrega rápida,a
5,o,2026-04-06,Pendiente,24.815,Dejar en la puerta,a
5,o,2026-03-30,Pendiente,17.495,Llamar al llegar,a
5,o,2026-04-15,Cancelada,32.5,Llamar al llegar,a
5,o,2026-04-05,Completada,27.263,Llamar al llegar,a
5,o,2026-04-09,En Proceso,6.96,Llamar al llegar,a
5,o,2026-04-10,Completada,12.037,Requiere firma,a
5,o,2026-03-22,Completada,37.218,Entrega rápida,a
5,o,2026-04-01,Completada,22.846,Dejar en la puerta,a
5,o,2026-04-04,Pendiente,6.176,Entrega rápida,a
5,o,2026-04-16,En Proceso,31.438,Llamar al llegar,a
5,o,2026-03-18,En Proceso,22.579,Dejar en la puerta,a
5,o,2026-03-21,Pendiente,17.697,Dejar en la puerta,a
5,o,2026-04-16,Cancelada,38.271,Entrega rápida,a
5,o,2026-04-05,Completada,27.872,Llamar al llegar,a
5,o,2026-03-29,En Proceso,37.801,Llamar al llegar,a
5,o,2026-03-25,Pendiente,28.214,Llamar al llegar,a
5,o,2026-04-11,Completada,33.343,Requiere firma,a
5,o,2026-04-01,Pendiente,37.014,Llamar al llegar,a
5,o,2026-03-22,Cancelada,24.322,Entrega rápida,a
5,o,2026-04-01,En Proceso,8.268,Requiere firma,a
5,o,2026-04-13,Completada,18.645,Entrega rápida,a
5,o,2026-03-21,Cancelada,34.397,Entrega rápida,a
5,o,2026-03-21,Cancelada,11.855,Entrega rápida,a
5,o,2026-04-03,En Proceso,48.386,Llamar al llegar,a
5,o,2026-03-24,Completada,6.11,Dejar en la puerta,a
5,o,2026-04-10,Cancelada,44.937,Entrega rápida,a
5,o,2026-04-11,Cancelada,23.213,Entrega rápida,a
5,o,2026-04-14,Cancelada,40.848,Llamar al llegar,a
5,o,2026-04-04,Pendiente,15.37,Requiere firma,a
5,o,2026-03-31,Completada,14.996,Entrega rápida,a
5,o,2026-03-24,Completada,28.533,Requiere firma,a
5,o,2026-03-20,Completada,26.431,Entrega rápida,a
5,o,2026-03-17,Pendiente,10.178,Requiere firma,a
5,o,2026-03-30,Cancelada,46.414,Requiere firma,a
5,o,2026-04-13,Cancelada,33.446,Requiere firma,a
5,o,2026-03-25,Completada,7.583,Requiere firma,a
5,o,2026-03-24,Pendiente,25.879,Dejar en la puerta,a
5,o,2026-04-02,Completada,22.58,Dejar en la puerta,a
5,o,2026-03-27,En Proceso,31.45,Requiere firma,a
5,o,2026-04-12,Completada,13.169,Entrega rápida,a
5,o,2026-04-04,Pendiente,11.907,Entrega rápida,a
5,o,2026-03-19,Cancelada,17.507,Dejar en la puerta,a
5,o,2026-03-31,Pendiente,9.559,Requiere firma,a
5,o,2026-04-16,Pendiente,32.584,Llamar al llegar,a
5,o,2026-03-24,En Proceso,40.884,Dejar en la puerta,a
5,o,2026-04-08,Completada,40.087,Entrega rápida,a
5,o,2026-03-22,Pendiente,46.748,Entrega rápida,a
5,o,2026-03-26,Pendiente,23.169,Requiere firma,a
5,o,2026-04-07,En Proceso,13.534,Entrega rápida,a
5,o,2026-03-17,En Proceso,27.591,Requiere firma,a
5,o,2026-04-10,Pendiente,49.917,Llamar al llegar,a
5,o,2026-03-28,Completada,23.976,Llamar al llegar,a
5,o,2026-03-31,Cancelada,6.408,Dejar en la puerta,a
5,o,2026-04-14,En Proceso,7.406,Entrega rápida,a
5,o,2026-03-26,Pendiente,21.39,Llamar al llegar,a
5,o,2026-04-04,Cancelada,35.028,Requiere firma,a
5,o,2026-04-06,Completada,45.462,Llamar al llegar,a
5,o,2026-04-12,Completada,24.481,Llamar al llegar,a
5,o,2026-03-27,En Proceso,28.254,Entrega rápida,a
5,o,2026-04-16,Pendiente,36.763,Dejar en la puerta,a
5,o,2026-03-20,En Proceso,19.396,Llamar al llegar,a
5,o,2026-03-22,En Proceso,20.322,Llamar al llegar,a
5,o,2026-04-02,Cancelada,34.82,Requiere firma,a
5,o,2026-03-23,En Proceso,37.832,Entrega rápida,a
5,o,2026-03-29,Pendiente,35.846,Entrega rápida,a
5,o,2026-04-10,Pendiente,44.708,Dejar en la puerta,a
5,o,2026-03-22,Completada,28.921,Dejar en la puerta,a
5,o,2026-03-23,Cancelada,12.876,Llamar al llegar,a
5,o,2026-03-18,Cancelada,34.079,Dejar en la puerta,a
5,o,2026-04-11,Cancelada,18.871,Requiere firma,a
5,o,2026-03-31,Cancelada,29.182,Requiere firma,a
5,o,2026-03-18,Pendiente,38.588,Requiere firma,a
5,o,2026-04-01,Completada,19.986,Entrega rápida,a
5,o,2026-03-28,Cancelada,44.413,Entrega rápida,a
5,o,2026-04-08,En Proceso,34.091,Requiere firma,a
5,o,2026-04-03,Completada,10.33,Dejar en la puerta,a
5,o,2026-04-11,Cancelada,26.847,Requiere firma,a
5,o,2026-04-07,Pendiente,45.853,Dejar en la puerta,a
5,o,2026-04-05,Pendiente,41.72,Requiere firma,a
5,o,2026-03-23,En Proceso,23.175,Dejar en la puerta,a
5,o,2026-03-19,Completada,22.767,Requiere firma,a
